row	column
43	140
32	125
30	117
33	125
45	148
33	124
44	146
42	139
32	124
41	139
32	123
30	123
35	129
31	119
31	123
38	136
31	122
35	130
40	137
39	137
36	130
29	121
37	133
28	118
30	122
39	135
29	120
39	136
36	131
38	134
30	121
37	132
31	121
30	118
30	120
29	119
30	119
28	117
29	118
28	116
29	117
29	116
28	115
28	114
28	113
28	110
28	112
28	111
70	143
71	143
61	154
72	142
61	153
74	141
59	155
60	155
65	147
62	153
60	157
63	150
66	146
60	156
59	157
61	155
77	140
62	151
62	150
67	146
68	145
75	142
71	144
58	156
64	148
74	142
62	152
70	144
69	144
64	149
69	145
76	142
60	158
57	155
78	140
73	143
61	152
64	150
63	149
65	148
66	147
63	151
75	141
77	141
65	149
76	141
73	142
74	143
60	154
67	145
72	143
59	156
78	139
73	112
77	129
75	120
76	113
75	109
78	136
77	130
72	109
78	134
76	125
71	100
78	137
72	108
76	126
78	135
76	124
75	106
76	123
78	132
74	103
76	107
73	111
78	127
76	122
78	128
71	101
78	133
71	99
78	129
77	128
74	113
78	130
77	127
72	98
76	117
74	114
71	98
78	131
76	114
77	121
75	118
77	126
72	99
73	100
73	101
72	100
72	103
76	116
72	104
72	106
72	105
72	107
76	115
79	131
78	138
72	101
75	119
77	125
74	104
72	102
73	106
74	106
73	103
79	132
74	105
73	102
73	105
73	107
74	107
77	124
73	104
73	108
77	123
79	135
74	108
79	133
75	110
79	134
77	122
73	110
73	109
74	109
79	136
75	111
76	118
74	110
76	121
75	117
74	111
75	113
74	112
75	112
75	114
76	119
75	116
75	115
76	120
79	137
61	63
68	96
61	64
63	66
60	64
63	64
56	75
56	74
68	91
62	72
55	78
67	84
62	64
56	73
59	67
58	69
66	91
55	77
60	65
62	62
67	94
63	65
63	63
61	71
59	72
59	66
57	69
56	81
67	85
58	70
60	67
56	72
59	65
58	63
62	70
62	66
62	71
60	76
63	73
71	96
59	73
62	68
62	69
55	76
66	93
60	75
66	94
56	80
56	71
56	76
64	75
61	69
61	75
58	71
66	92
68	85
67	83
67	95
61	65
60	66
57	71
68	86
60	68
66	90
59	71
57	67
61	67
62	63
68	95
57	68
62	65
61	68
57	70
56	79
61	66
60	74
59	64
61	70
62	67
62	73
60	69
70	95
58	64
68	92
67	86
66	80
60	73
60	70
69	94
69	96
70	97
59	70
67	93
60	71
66	83
61	72
63	74
71	97
58	68
66	82
70	96
59	68
61	74
67	87
63	76
63	75
62	75
69	95
59	69
68	94
62	74
66	86
65	81
64	76
66	84
65	79
61	73
66	85
66	87
67	89
58	67
65	78
67	88
64	78
68	93
64	77
60	72
58	65
58	66
67	90
57	64
57	66
65	80
57	63
67	92
67	91
57	65
66	81
41	93
43	92
54	67
29	100
39	96
46	79
38	96
41	95
37	95
42	93
30	98
53	69
52	70
51	72
53	67
40	95
40	96
43	83
42	86
51	71
42	92
55	65
37	96
41	94
43	90
47	77
55	66
52	71
52	69
54	66
53	66
43	91
36	95
42	94
52	68
53	68
52	67
38	90
43	84
40	89
43	85
33	97
28	104
48	75
38	91
30	99
41	88
37	91
54	65
39	90
34	96
29	101
28	105
47	76
37	94
36	92
43	89
35	93
36	94
36	93
43	86
37	92
28	103
51	69
51	70
37	93
45	80
30	103
47	75
38	93
31	99
51	68
41	89
31	97
29	105
30	102
46	76
55	64
45	82
30	100
41	90
42	87
43	87
53	65
38	92
31	100
53	64
30	101
43	88
48	72
47	74
50	69
32	98
31	98
48	74
46	77
48	73
56	63
28	106
46	78
55	63
44	82
54	64
42	88
49	70
44	81
44	86
42	89
29	104
45	81
50	70
35	95
51	67
44	79
44	80
45	79
32	97
45	78
29	103
50	68
40	90
49	73
52	65
44	84
44	83
50	71
49	71
39	92
49	72
44	85
35	94
39	91
32	96
51	66
29	102
33	96
28	107
33	95
34	94
34	95
52	66
54	62
49	45
53	60
56	49
51	57
55	61
40	40
50	47
50	45
54	53
50	50
60	54
55	58
59	53
61	58
52	53
58	53
61	59
52	52
56	59
60	57
51	58
59	55
56	60
54	48
62	61
60	55
48	45
51	56
51	53
51	55
55	56
55	57
49	46
62	60
56	61
41	39
59	54
56	50
51	52
55	54
57	51
56	57
54	54
55	49
51	54
46	46
61	60
52	51
53	52
51	51
57	50
58	52
52	59
52	60
60	56
55	62
51	46
58	51
52	47
56	58
56	56
53	61
54	61
55	55
50	46
52	58
61	57
47	44
49	44
56	62
48	44
44	43
51	50
51	47
45	43
40	39
47	47
46	43
49	49
54	52
57	60
43	42
56	55
42	42
55	53
43	43
53	51
45	44
57	61
51	48
44	44
49	47
48	48
52	50
50	48
54	63
45	45
58	61
39	40
57	62
49	48
43	44
48	47
51	49
46	44
41	42
47	45
56	54
58	62
57	59
57	58
46	45
40	38
50	49
38	41
42	43
55	52
39	42
53	48
48	46
58	60
40	42
41	43
54	51
52	48
39	41
40	41
55	50
56	53
58	59
56	52
56	51
47	46
37	38
55	51
57	57
57	56
54	50
53	50
38	40
52	49
57	55
39	38
40	37
37	37
54	49
38	39
38	38
37	39
39	39
53	49
37	40
39	37
38	37
28	57
31	60
32	62
32	61
31	65
27	53
27	54
31	63
29	65
31	62
29	67
30	64
30	59
29	68
31	59
33	62
30	58
32	60
31	64
28	67
30	65
28	55
27	51
30	66
28	68
28	66
33	61
27	52
28	56
29	57
32	63
31	61
29	58
29	66
28	69
21	36
23	29
24	35
23	30
23	32
23	31
24	34
20	36
24	32
23	35
22	35
24	33
27	48
29	38
30	38
27	47
30	37
24	52
29	39
29	37
28	48
27	49
28	47
27	50
28	45
28	46
24	53
29	45
30	39
29	44
31	37
28	40
30	43
28	44
29	43
27	46
31	38
29	40
32	42
27	44
28	43
29	42
27	45
33	41
32	37
28	42
29	41
30	42
25	47
25	48
30	40
26	48
25	49
26	55
32	41
26	47
31	42
27	43
31	39
26	49
28	41
26	54
30	41
26	46
34	40
32	38
25	50
26	50
31	41
33	40
31	40
26	51
32	39
32	40
26	43
25	51
26	52
26	53
33	37
27	42
33	39
33	38
34	37
36	37
35	38
35	37
25	52
26	45
34	38
26	44
34	39
25	55
25	54
25	53
25	56
25	57
28	35
29	35
29	36
28	36
27	34
28	34
28	32
29	32
31	33
30	35
30	36
27	31
26	31
34	34
35	34
28	33
25	30
32	35
33	34
30	32
33	35
31	35
27	32
37	35
32	34
41	36
33	33
32	36
39	36
26	30
38	36
30	33
27	33
41	35
29	33
31	36
29	34
34	35
36	35
24	29
35	35
31	32
25	29
32	33
24	28
37	36
26	29
34	33
31	34
30	34
32	32
28	31
40	36
23	28
33	36
33	32
34	32
27	30
36	36
36	34
34	36
29	31
30	31
35	36
23	26
35	33
40	35
38	35
36	33
23	27
39	35
39	34
22	27
38	34
37	34
25	40
22	36
22	37
24	40
22	38
23	39
